PM,DaysFromAssumption,Cumulative
Thatcher,0,0
Thatcher,992,1
Thatcher,1094,2
Thatcher,1095,3
Thatcher,1095,4
Thatcher,1095,5
Thatcher,1188,6
Thatcher,1488,7
Thatcher,1650,8
Thatcher,1711,9
Thatcher,2015,10
Thatcher,2040,11
Thatcher,2152,12
Thatcher,2387,13
Thatcher,2454,14
Thatcher,2573,15
Thatcher,2614,16
Thatcher,3096,17
Thatcher,3437,18
Thatcher,3513,19
Thatcher,3830,20
Thatcher,3953,21
Thatcher,3988,22
Thatcher,4087,23
Thatcher,4198,24
Thatcher,4207,25
Major,0,0
Major,175,1
Major,664,2
Major,715,3
Major,939,4
Major,1023,5
Major,1250,6
Major,1377,7
Major,1422,8
Major,1427,9
Major,1434,10
Major,1621,11
Major,1621,12
Major,1648,13
Major,1671,14
Major,1708,15
Major,1738,16
Major,1784,17
Major,1800,18
Major,1896,19
Major,2063,20
Major,2064,21
Major,2064,22
Major,2176,23
Blair,0,0
Blair,5,1
Blair,163,2
Blair,538,3
Blair,600,4
Blair,600,5
Blair,651,6
Blair,745,7
Blair,816,8
Blair,855,9
Blair,973,10
Blair,1003,11
Blair,1363,12
Blair,1593,13
Blair,1852,14
Blair,2001,15
Blair,2145,16
Blair,2146,17
Blair,2146,18
Blair,2380,19
Blair,2408,20
Blair,2438,21
Blair,2656,22
Blair,2784,23
Blair,2842,24
Blair,3240,25
Blair,3325,26
Blair,3449,27
Blair,3621,28
Blair,3837,29
Brown,0,0
Brown,14,1
Brown,112,2
Brown,211,3
Brown,447,4
Brown,531,5
Brown,590,6
Brown,590,7
Brown,590,8
Brown,649,9
Brown,679,10
Brown,679,11
Brown,719,12
Brown,755,13
Brown,755,14
Brown,758,15
Brown,771,16
Brown,824,17
Cameron,0,0
Cameron,18,1
Cameron,521,2
Cameron,661,3
Cameron,892,4
Cameron,1147,5
Cameron,1431,6
Cameron,1431,7
Cameron,1458,8
Cameron,1544,9
Cameron,1577,10
Cameron,1600,11
Cameron,1617,12
Cameron,1642,13
Cameron,2027,14
Cameron,2139,15
May,0,0
May,72,1
May,332,2
May,334,3
May,417,4
May,471,5
May,476,6
May,480,7
May,483,8
May,525,9
May,655,10
May,699,11
May,708,12
May,725,13
May,726,14
May,726,15
May,730,16
May,733,17
May,841,18
May,849,19
May,855,20
May,855,21
May,855,22
May,855,23
May,870,24
May,890,25
May,915,26
May,960,27
May,973,28
May,985,29
May,985,30
May,994,31
May,994,32
May,994,33
May,1014,34
May,1022,35
May,1028,36
May,1028,37
May,1043,38
May,1100,39
May,1104,40
May,1105,41
Johnson,0,0
Johnson,37,1
Johnson,44,2
Johnson,46,3
Johnson,106,4
Johnson,286,5
Johnson,308,6